FMT	144 	-0.0102960526316 	143/144	99.3055555556
THANI	144 	-0.00980921052632 	143/144	99.3055555556
SUC	144 	-0.00970394736842 	143/144	99.3055555556
NINE	144 	-0.00947697368421 	143/144	99.3055555556
PAF	144 	-0.00889802631579 	143/144	99.3055555556
UTP	144 	-0.00885526315789 	143/144	99.3055555556
PRANDA	144 	-0.00850328947368 	143/144	99.3055555556
IFS	144 	-0.00842105263158 	143/144	99.3055555556
MAKRO	144 	-0.00838815789474 	143/144	99.3055555556
TMB	144 	-0.00830921052632 	143/144	99.3055555556
EVER	144 	-0.00825657894737 	143/144	99.3055555556
CSP	144 	-0.008 	144/144	100.0
TVD	144 	-0.00794736842105 	143/144	99.3055555556
PAP	144 	-0.00769078947368 	143/144	99.3055555556
SABINA	144 	-0.00766447368421 	143/144	99.3055555556
DSGT	144 	-0.00763157894737 	143/144	99.3055555556
MONO	144 	-0.00748026315789 	143/144	99.3055555556
TTW	144 	-0.00746710526316 	143/144	99.3055555556
MAJOR	144 	-0.00715460526316 	143/144	99.3055555556
TMW	144 	-0.00707236842105 	143/144	99.3055555556
VARO	144 	-0.00671052631579 	143/144	99.3055555556
STEC	144 	-0.00661184210526 	143/144	99.3055555556
BFIT	144 	-0.0065625 	144/144	100.0
BSM	144 	-0.0065625 	144/144	100.0
SIS	144 	-0.00652960526316 	143/144	99.3055555556
2S	144 	-0.00625 	144/144	100.0
DRT	144 	-0.00606578947368 	143/144	99.3055555556
KCAR	144 	-0.00605263157895 	143/144	99.3055555556
LANNA	144 	-0.00595394736842 	143/144	99.3055555556
GRAND	144 	-0.00568421052632 	143/144	99.3055555556
TU-PF	144 	-0.00565131578947 	143/144	99.3055555556
AEC	144 	-0.005625 	144/144	100.0
ASK	144 	-0.005625 	144/144	100.0
CNT	144 	-0.0055 	144/144	100.0
PERM	144 	-0.00548684210526 	143/144	99.3055555556
BCH	144 	-0.0053125 	144/144	100.0
EPCO	144 	-0.00513157894737 	143/144	99.3055555556
NMG	144 	-0.00513157894737 	143/144	99.3055555556
ROJNA	144 	-0.00503289473684 	143/144	99.3055555556
AMATA	144 	-0.005 	144/144	100.0
QTC	144 	-0.00497039473684 	143/144	99.3055555556
CGD	144 	-0.0048125 	144/144	100.0
HOTPOT	144 	-0.00478947368421 	143/144	99.3055555556
SALEE	144 	-0.0046875 	143/144	99.3055555556
KAMART	144 	-0.00450657894737 	143/144	99.3055555556
INET	144 	-0.00448684210526 	143/144	99.3055555556
TMC	144 	-0.00435526315789 	143/144	99.3055555556
CCP	144 	-0.00425 	144/144	100.0
SINGER	144 	-0.00417763157895 	143/144	99.3055555556
UEC	144 	-0.00416447368421 	143/144	99.3055555556
JMT	144 	-0.00407894736842 	143/144	99.3055555556
RML	144 	-0.00392105263158 	143/144	99.3055555556
VNT	144 	-0.00384868421053 	143/144	99.3055555556
MALEE	144 	-0.00370065789474 	143/144	99.3055555556
NUSA	144 	-0.00368421052632 	143/144	99.3055555556
HYDRO	144 	-0.00352631578947 	143/144	99.3055555556
CPR	144 	-0.0035 	144/144	100.0
CRANE	144 	-0.0035 	144/144	100.0
THRE	144 	-0.00346052631579 	143/144	99.3055555556
KBS	144 	-0.00335526315789 	143/144	99.3055555556
HEMRAJ	144 	-0.00326315789474 	143/144	99.3055555556
EARTH	144 	-0.00315789473684 	143/144	99.3055555556
MACO	144 	-0.00315789473684 	143/144	99.3055555556
JUTHA	144 	-0.00314473684211 	143/144	99.3055555556
CITY	144 	-0.003125 	144/144	100.0
TNH	144 	-0.003125 	143/144	99.3055555556
KTP	144 	-0.00306578947368 	143/144	99.3055555556
MPG	144 	-0.00295394736842 	143/144	99.3055555556
TTLPF	144 	-0.00292763157895 	143/144	99.3055555556
PPS	144 	-0.00284210526316 	143/144	99.3055555556
SPACK	144 	-0.00283552631579 	143/144	99.3055555556
CPI	144 	-0.00275 	144/144	100.0
BSBM	144 	-0.0026875 	144/144	100.0
M-II	144 	-0.00266447368421 	143/144	99.3055555556
HTECH	144 	-0.00261842105263 	143/144	99.3055555556
JMART	144 	-0.00258223684211 	143/144	99.3055555556
ECF	144 	-0.00257894736842 	143/144	99.3055555556
PAE	144 	-0.00256578947368 	143/144	99.3055555556
TKT	144 	-0.00248026315789 	143/144	99.3055555556
SMIT	144 	-0.00243421052632 	143/144	99.3055555556
SAUCE	144 	-0.00241776315789 	143/144	99.3055555556
LHBANK	144 	-0.00241447368421 	143/144	99.3055555556
LST	144 	-0.00240789473684 	143/144	99.3055555556
MATCH	144 	-0.00240789473684 	143/144	99.3055555556
PLE	144 	-0.00239802631579 	143/144	99.3055555556
TGCI	144 	-0.002375 	143/144	99.3055555556
SPORT	144 	-0.00235855263158 	143/144	99.3055555556
TNITY	144 	-0.00235197368421 	143/144	99.3055555556
TWFP	144 	-0.00230263157895 	143/144	99.3055555556
NNCL	144 	-0.00220723684211 	143/144	99.3055555556
BTC	144 	-0.002125 	144/144	100.0
SWC	144 	-0.00207236842105 	143/144	99.3055555556
ARIP	144 	-0.0020625 	144/144	100.0
LHK	144 	-0.00203947368421 	143/144	99.3055555556
MATI	144 	-0.00200657894737 	143/144	99.3055555556
TRUBB	144 	-0.00197697368421 	143/144	99.3055555556
MPIC	144 	-0.00188815789474 	143/144	99.3055555556
CEI	144 	-0.001875 	144/144	100.0
JTS	144 	-0.00179276315789 	143/144	99.3055555556
GJS	144 	-0.00177302631579 	143/144	99.3055555556
MAX	144 	-0.00169078947368 	143/144	99.3055555556
APURE	144 	-0.0016875 	144/144	100.0
AQUA	144 	-0.001625 	144/144	100.0
ZMICO	144 	-0.00152631578947 	143/144	99.3055555556
NEP	144 	-0.00141776315789 	143/144	99.3055555556
LALIN	144 	-0.00141447368421 	143/144	99.3055555556
TGPRO	144 	-0.001375 	143/144	99.3055555556
LUXF	144 	-0.00128289473684 	143/144	99.3055555556
GSTEL	144 	-0.00125986842105 	143/144	99.3055555556
UKEM	144 	-0.00121710526316 	143/144	99.3055555556
ERWPF	144 	-0.00120065789474 	143/144	99.3055555556
UOB8TF	144 	-0.00120065789474 	143/144	99.3055555556
BLAND	144 	-0.0010625 	144/144	100.0
SITHAI	144 	-0.00104605263158 	143/144	99.3055555556
MODERN	144 	-0.00101973684211 	143/144	99.3055555556
AMANAH	144 	-0.001 	144/144	100.0
PICO	144 	-0.000980263157895 	143/144	99.3055555556
SIRI	144 	-0.000970394736842 	143/144	99.3055555556
MNIT2	144 	-0.000953947368421 	143/144	99.3055555556
SSI	144 	-0.000953947368421 	143/144	99.3055555556
DRACO	144 	-0.000940789473684 	143/144	99.3055555556
BKKCP	144 	-0.0009375 	144/144	100.0
TWZ	144 	-0.000881578947368 	143/144	99.3055555556
EASON	144 	-0.000855263157895 	143/144	99.3055555556
CIMBT	144 	-0.0008125 	144/144	100.0
PJW	144 	-0.000644736842105 	143/144	99.3055555556
TFUND	144 	-0.000625 	143/144	99.3055555556
MNRF	144 	-0.000608552631579 	143/144	99.3055555556
M-STOR	144 	-0.000592105263158 	143/144	99.3055555556
MJD	144 	-0.000585526315789 	143/144	99.3055555556
BEAUTY	144 	-0.0005625 	144/144	100.0
MBAX	144 	-0.000483552631579 	143/144	99.3055555556
CNS	144 	-0.000375 	144/144	100.0
ESTAR	144 	-0.000358552631579 	143/144	99.3055555556
WIN	144 	-0.000338815789474 	143/144	99.3055555556
QHHR	144 	-0.000328947368421 	143/144	99.3055555556
SGP	144 	-0.000296052631579 	143/144	99.3055555556
UOBKH	144 	-0.000296052631579 	143/144	99.3055555556
QHPF	144 	-0.000263157894737 	143/144	99.3055555556
BGT	144 	-0.00025 	144/144	100.0
TSTH	144 	-0.000217105263158 	143/144	99.3055555556
NWR	144 	-0.000213815789474 	143/144	99.3055555556
IEC	144 	-0.000125 	143/144	99.3055555556
TYCN	144 	-0.000118421052632 	143/144	99.3055555556
A	144 	nan 	0/144	0.0
ABICO	144 	nan 	118/144	81.9444444444
ADAM	144 	0.0 	144/144	100.0
AF	144 	nan 	0/144	0.0
AFC	144 	nan 	1/144	0.694444444444
AH	144 	nan 	0/144	0.0
AI	144 	nan 	0/144	0.0
AIM	144 	nan 	0/144	0.0
AJ	144 	nan 	0/144	0.0
AKR	144 	nan 	1/144	0.694444444444
AMC	144 	nan 	1/144	0.694444444444
AP	144 	nan 	0/144	0.0
APX	144 	nan 	0/144	0.0
AS	144 	nan 	0/144	0.0
ASCON	144 	0.0 	144/144	100.0
ASIA	144 	nan 	0/144	0.0
BEC	144 	nan 	0/144	0.0
BGH	144 	nan 	40/144	27.7777777778
BH	144 	nan 	1/144	0.694444444444
BLA	144 	nan 	0/144	0.0
